intervenant,parti,intervention,text_cleaned,emotions
Antoine Léaument,LFI,"
Cet article liminaire témoigne de votre mépris du Parlement car il fait référence à une loi que nous avons repoussée. Il témoigne de votre mépris du Parlement car il ouvre un projet de loi que vous voulez faire passer en cinquante jours – cinquante jours pour voler deux ans de vie aux Françaises et aux Français . ",cet article liminaire témoigne de votre mépris du parlement car il fait référence à une loi que nous avons repoussée. il témoigne de votre mépris du parlement car il ouvre un projet de loi que vous voulez faire passer en cinquante jours – cinquante jours pour voler deux ans de vie aux françaises et aux français .,"[{'label': 'anger', 'score': 0.5364013910293579}]"
Yaël Braun-Pivet,REN,"
Un peu de silence, s'il vous plaît ! ",un peu de silence s'il vous plaît ,"[{'label': 'anger', 'score': 0.677108108997345}]"
Antoine Léaument,LFI,"
Vous voulez faire travailler deux ans de plus celles et ceux, caissières ou caissiers, qui portent une tonne par jour, celles et ceux qui travaillent la nuit, celles et ceux qui se cassent le dos à conduire des bus, des taxis, des camions, à exécuter des tâches de logistique, celles et ceux qui récurent vos toilettes et qui vident vos poubelles. ",vous voulez faire travailler deux ans de plus celles et ceux caissières ou caissiers qui portent une tonne par jour celles et ceux qui travaillent la nuit celles et ceux qui se cassent le dos à conduire des bus des taxis des camions à exécuter des tâches de logistique celles et ceux qui récurent vos toilettes et qui vident vos poubelles.,"[{'label': 'anger', 'score': 0.5321084260940552}]"
Antoine Léaument,LFI,"
Voilà ce que vous êtes en train de faire ! ",voilà ce que vous êtes en train de faire ,"[{'label': 'joy', 'score': 0.862525463104248}]"
Antoine Léaument,LFI,"
Vous voulez, en cinquante jours, voler ces deux ans de vie à tous ces gens qui font tourner le pays. Eh bien, pendant cinquante jours, vous allez devoir endurer les arguments de celles et ceux qui vous disent qu'il n'y a pas besoin de voler ces deux ans de vie, qu'il vaudrait mieux faire payer ceux qui ont beaucoup. Ce sont eux les vrais paresseux de ce pays : ils ne foutent rien, à part s'enrichir sur le travail des autres. ",vous voulez en cinquante jours voler ces deux ans de vie à tous ces gens qui font tourner le pays. eh bien pendant cinquante jours vous allez devoir endurer les arguments de celles et ceux qui vous disent qu'il n'y a pas besoin de voler ces deux ans de vie qu'il vaudrait mieux faire payer ceux qui ont beaucoup. ce sont eux les vrais paresseux de ce pays  ils ne foutent rien à part s'enrichir sur le travail des autres.,"[{'label': 'anger', 'score': 0.8075395822525024}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Farida Amrani, pour soutenir l'amendement n° 1138 . ",la parole est à mme farida amrani pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.6873857975006104}]"
Farida Amrani,LFI,"
Dans cet article, vous nous présentez un déficit apparent de notre système de retraite. Or ce déficit ne résulte pas d'un déséquilibre démographique mais de l'austérité que vous avez commencé d'installer à travers le démantèlement de la fonction publique. Il est le fruit de vos choix politiques. Alors que les employeurs publics ont des taux de cotisation supérieurs au régime général du privé, vous avez fait le choix de réduire le nombre de fonctionnaires et leur niveau de salaire. Résultat : vous avez asséché notre système de retraite. Dans le même temps, vous avez réduit comme jamais, oui comme jamais, les impôts des plus riches et des grandes entreprises, amputant ainsi le budget général de l'État de 50 milliards d'euros par an.Parallèlement, vous continuez à précariser notre fonction publique en prévoyant le gel du point d'indice et la mise à l'arrêt des recrutements des fonctionnaires. Ce gel, surtout en pleine période d'inflation, ne signifie qu'une seule chose : la baisse des pensions de retraite.Enfin, avec la hausse d'un point des cotisations retraite pour les employeurs territoriaux, votre réforme prendra à la gorge les collectivités territoriales, qui se verront imposer une charge supplémentaire de plusieurs centaines de millions d'euros. Revenez à la raison, messieurs les ministres, retirez votre réforme ! ",dans cet article vous nous présentez un déficit apparent de notre système de retraite. or ce déficit ne résulte pas d'un déséquilibre démographique mais de l'austérité que vous avez commencé d'installer à travers le démantèlement de la fonction publique. il est le fruit de vos choix politiques. alors que les employeurs publics ont des taux de cotisation supérieurs au régime général du privé vous avez fait le choix de réduire le nombre de fonctionnaires et leur niveau de salaire. résultat  vous avez asséché notre système de retraite. dans le même temps vous avez réduit comme jamais oui comme jamais les impôts des plus riches et des grandes entreprises amputant ainsi le budget général de l'état de  milliards d'euros par an.parallèlement vous continuez à précariser notre fonction publique en prévoyant le gel du point d'indice et la mise à l'arrêt des recrutements des fonctionnaires. ce gel surtout en pleine période d'inflation ne signifie qu'une seule chose  la baisse des pensions de retraite.enfin avec la hausse d'un point des cotisations retraite pour les employeurs territoriaux votre réforme prendra à la gorge les collectivités territoriales qui se verront imposer une charge supplémentaire de plusieurs centaines de millions d'euros. revenez à la raison messieurs les ministres retirez votre réforme ,"[{'label': 'anger', 'score': 0.5198227763175964}, {'label': 'joy', 'score': 0.5136319398880005}, {'label': 'joy', 'score': 0.6527498960494995}]"
Yaël Braun-Pivet,REN,"
La parole est à M. Emeric Salmon, pour un rappel au règlement. ",la parole est à m. emeric salmon pour un rappel au règlement.,"[{'label': 'joy', 'score': 0.6645452380180359}]"
Emeric Salmon,RN,"
L'article 100, alinéa 5 du règlement dispose que « Lorsque plusieurs membres d'un même groupe présentent des amendements identiques, la parole est donnée à un seul orateur de ce groupe par son président ou son délégué. » Or nous avons ici une série d'amendements identiques, défendus par les membres d'un même groupe. ",l'article  alinéa  du règlement dispose que « lorsque plusieurs membres d'un même groupe présentent des amendements identiques la parole est donnée à un seul orateur de ce groupe par son président ou son délégué. » or nous avons ici une série d'amendements identiques défendus par les membres d'un même groupe.,"[{'label': 'anger', 'score': 0.609868049621582}]"
Yaël Braun-Pivet,REN,"
Effectivement, l'article 100, alinéa 5 nous permet de ne donner la parole qu'à un orateur par groupe sur des amendements identiques mais j'ai décidé de ne pas l'appliquer, estimant qu'en ce début de débat, davantage d'orateurs pouvaient s'exprimer. ",effectivement l'article  alinéa  nous permet de ne donner la parole qu'à un orateur par groupe sur des amendements identiques mais j'ai décidé de ne pas l'appliquer estimant qu'en ce début de débat davantage d'orateurs pouvaient s'exprimer.,"[{'label': 'joy', 'score': 0.844623327255249}]"
Yaël Braun-Pivet,REN,"
La parole est à Mme Danielle Simonnet, pour soutenir l'amendement n° 1287 . ",la parole est à mme danielle simonnet pour soutenir l'amendement n°  .,"[{'label': 'joy', 'score': 0.5381316542625427}]"
Danielle Simonnet,LFI,"
On voit bien à quel point vous rechignez à vous opposer à cette réforme ! ",on voit bien à quel point vous rechignez à vous opposer à cette réforme ,"[{'label': 'anger', 'score': 0.9900471568107605}]"
Laurent Jacobelli,RN,"
On ne veut pas d'obstruction, nous, madame ! ",on ne veut pas d'obstruction nous madame ,"[{'label': 'anger', 'score': 0.9419640302658081}]"
Danielle Simonnet,LFI,"
Voilà une opposition de carton qui refuse de contrer les mensonges du Gouvernement et de rejeter les conséquences iniques qu'aura cette réforme sur la population. Vous vous êtes vous-mêmes démasqués, bravo !Moi, je parlerai de cet article liminaire. On y découvre un déficit aggravé, qui repose sur l'hypothèse d'un gel des effectifs des fonctionnaires ou d'une baisse réelle de leur rémunération de 11 % d'ici à 2027. Il faut le dire à tous les Françaises et les Français qui nous écoutent.Soit cette saignée est prévue, et c'est très grave ! L'hôpital public est en train de s'effondrer, on meurt sur des brancards dans les services des urgences. L'école de la République n'arrive plus à recruter, on manque d'enseignants. Les entreprises de transports publics, comme la SNCF, ou de transports urbains comme la RATP ne trouvent plus de conducteurs. La baisse des effectifs et la non-augmentation des salaires des fonctionnaires dégraderont encore plus les services publics.Soit rien de cela n'est vrai. Dans ce cas, le système n'est pas menacé et c'est sur la base d'un mensonge scandaleux que vous vous apprêtez à condamner à deux ans ferme l'ensemble du peuple français ! Il n'est pas étonnant que vous mentiez ainsi quand on voit dans quel mépris vous tenez la démocratie. Vous voulez nous imposer cette contre-réforme avec l'article 47-1 de la Constitution, qui n'est absolument pas prévu pour faire passer une loi sur les retraites ! ",voilà une opposition de carton qui refuse de contrer les mensonges du gouvernement et de rejeter les conséquences iniques qu'aura cette réforme sur la population. vous vous êtes vousmêmes démasqués bravo moi je parlerai de cet article liminaire. on y découvre un déficit aggravé qui repose sur l'hypothèse d'un gel des effectifs des fonctionnaires ou d'une baisse réelle de leur rémunération de   d'ici à  il faut le dire à tous les françaises et les français qui nous écoutent.soit cette saignée est prévue et c'est très grave  l'hôpital public est en train de s'effondrer on meurt sur des brancards dans les services des urgences. l'école de la république n'arrive plus à recruter on manque d'enseignants. les entreprises de transports publics comme la sncf ou de transports urbains comme la ratp ne trouvent plus de conducteurs. la baisse des effectifs et la nonaugmentation des salaires des fonctionnaires dégraderont encore plus les services publics.soit rien de cela n'est vrai. dans ce cas le système n'est pas menacé et c'est sur la base d'un mensonge scandaleux que vous vous apprêtez à condamner à deux ans ferme l'ensemble du peuple français  il n'est pas étonnant que vous mentiez ainsi quand on voit dans quel mépris vous tenez la démocratie. vous voulez nous imposer cette contreréforme avec l'articlede la constitution qui n'est absolument pas prévu pour faire passer une loi sur les retraites ,"[{'label': 'anger', 'score': 0.711503267288208}, {'label': 'joy', 'score': 0.5522657036781311}, {'label': 'joy', 'score': 0.6429660320281982}]"
